구분,시명,화재건수,사망,부상,인명피해 계,부동산피해(천원),동산피해(천원),재산피해(천원),재산피해/건당(천원)
합계,,4172,39,201,240,26081237,35155563,61236800,14678
강원도,소계,206,6,9,15,7800727,6173294,13974021,67835
,강릉시,21,0,1,1,95045,16342,111387,5304
,고성군,11,0,1,1,65848,41622,107470,9770
,동해시,6,0,1,1,10206,13434,23640,3940
,삼척시,8,0,0,0,64069,87782,151851,18981
,속초시,11,0,0,0,30521,6876,37397,3400
,양구군,2,0,0,0,815,99,914,457
,양양군,10,0,1,1,16550,18096,34646,3465
,영월군,7,0,0,0,4826,7582,12408,1773
,원주시,26,0,0,0,104636,87571,192207,7393
,인제군,8,0,0,0,94839,42100,136939,17117
,정선군,7,0,2,2,60401,5733,66134,9448
,철원군,13,0,0,0,23566,15298,38864,2990
,춘천시,25,0,0,0,65406,21015,86421,3457
,태백시,0,0,0,0,0,0,0,0
,평창군,14,6,1,7,43651,322465,366116,26151
,홍천군,18,0,1,1,21574,20595,42169,2343
,화천군,2,0,0,0,8,188,196,98
,횡성군,17,0,1,1,7098766,5466496,12565262,739133
경기도,소계,842,5,48,53,8320326,10486064,18806390,22335
,가평군,13,0,0,0,52320,25278,77598,5969
,고양시덕양구,14,0,1,1,46493,104641,151134,10795
,고양시일산동구,21,0,2,2,155105,290442,445547,21217
,고양시일산서구,4,0,0,0,68457,19089,87546,21887
,과천시,4,0,1,1,20739,10637,31376,7844
,광명시,18,0,0,0,2515,40880,43395,2411
,광주시,29,2,0,2,638168,674314,1312482,45258
,구리시,8,0,6,6,16821,16476,33297,4162
,군포시,6,0,0,0,2583,163688,166271,27712
,김포시,38,0,1,1,788460,778958,1567418,41248
,남양주시,43,0,2,2,421105,392818,813923,18928
,동두천시,7,0,0,0,5817,10728,16545,2364
,부천시,32,0,0,0,235758,142444,378202,11819
,부천시소사구,0,0,0,0,0,0,0,0
,부천시오정구,0,0,0,0,0,0,0,0
,부천시원미구,0,0,0,0,0,0,0,0
,성남시분당구,18,0,2,2,2586,8161,10747,597
,성남시수정구,9,0,1,1,5772,39941,45713,5079
,성남시중원구,14,0,0,0,34883,53367,88250,6304
,수원시권선구,18,0,1,1,246796,271913,518709,28817
,수원시영통구,3,0,0,0,17881,10589,28470,9490
,수원시장안구,5,0,0,0,22045,16935,38980,7796
,수원시팔달구,8,0,0,0,11326,6286,17612,2202
,시흥시,31,0,1,1,114432,416319,530751,17121
,안산시단원구,23,0,0,0,68140,132026,200166,8703
,안산시상록구,12,0,0,0,14564,29202,43766,3647
,안성시,46,0,12,12,807475,296483,1103958,23999
,안양시,0,0,0,0,0,0,0,0
,안양시동안구,7,0,0,0,24970,11183,36153,5165
,안양시만안구,7,0,0,0,748,15509,16257,2322
,양주시,28,0,1,1,171556,91869,263425,9408
,양평군,27,0,2,2,218627,204383,423010,15667
,여주군,0,0,0,0,0,0,0,0
,여주시,21,1,1,2,187376,157261,344637,16411
,연천군,8,0,0,0,27478,54469,81947,10243
,오산시,10,1,0,1,23377,18938,42315,4232
,용인시기흥구,13,0,0,0,130676,81803,212479,16345
,용인시수지구,6,0,0,0,15609,15087,30696,5116
,용인시처인구,36,0,0,0,151983,205597,357580,9933
,의왕시,10,0,0,0,2863,79493,82356,8236
,의정부시,13,0,0,0,3828,7372,11200,862
,이천시,30,0,1,1,115006,223374,338380,11279
,파주시,38,0,8,8,896769,1214476,2111245,55559
,평택시,49,0,1,1,296186,347134,643320,13129
,포천시,32,1,3,4,197339,166291,363630,11363
,하남시,13,0,0,0,357302,1634938,1992240,153249
,화성시,70,0,1,1,1698392,2005272,3703664,52909
경상남도,소계,358,4,25,29,1136688,1468324,2605012,7277
,거제시,18,0,0,0,1218,3567,4785,266
,거창군,26,0,0,0,29994,16332,46326,1782
,고성군,14,0,2,2,84297,77071,161368,11526
,김해시,36,0,2,2,132351,95870,228221,6339
,남해군,12,0,0,0,2291,2759,5050,421
,밀양시,16,0,0,0,58244,9667,67911,4244
,사천시,16,2,1,3,28990,31789,60779,3799
,산청군,24,0,2,2,81424,30226,111650,4652
,양산시,26,0,1,1,151205,193795,345000,13269
,의령군,8,0,3,3,35085,13542,48627,6078
,진주시,24,0,2,2,158232,128699,286931,11955
,창녕군,16,0,0,0,155069,109005,264074,16505
,창원시 마산합포구,14,0,0,0,14352,34061,48413,3458
,창원시 마산회원구,6,0,1,1,14841,11124,25965,4328
,창원시 성산구,4,0,0,0,1319,1265,2584,646
,창원시 의창구,10,1,1,2,5590,515966,521556,52156
,창원시 진해구,13,0,5,5,27475,27871,55346,4257
,통영시,15,0,1,1,63453,109503,172956,11530
,하동군,12,0,1,1,38996,12574,51570,4298
,함안군,22,1,0,1,37599,35135,72734,3306
,함양군,11,0,2,2,1288,760,2048,186
,합천군,15,0,1,1,13375,7743,21118,1408
경상북도,소계,355,2,31,33,1530791,1832646,3363437,9474
,경산시,29,0,1,1,22236,20990,43226,1491
,경주시,31,0,7,7,64683,148696,213379,6883
,고령군,7,0,0,0,12631,223663,236294,33756
,구미시,38,0,0,0,24560,98143,122703,3229
,군위군,7,0,0,0,1821,68460,70281,10040
,김천시,34,0,1,1,817108,548995,1366103,40180
,문경시,17,0,2,2,23790,57126,80916,4760
